id,strava_activity_id,activity_name,is_parkrun,event_name,distance_km,pace_min_per_km,elevation_gain,day_of_week,hour,month,contains_parkrun,contains_marathon,contains_half,contains_ultra,contains_fun_run,name_length,is_5k,is_10k,is_half_marathon,is_marathon,is_ultra,coord_count,day_of_week,day_0.0,day_1.0,day_2.0,day_3.0,day_4.0,day_5.0,day_6.0,hour_6.0,hour_7.0,hour_8.0,hour_9.0,hour_10.0,hour_other
3108.0,14091896812.0,Shellharbour 10K,False,Shellharbour 10K,9.9636,3.944357461158617,47.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
4385.0,14092131733.0,Hobart Marathon 2025,False,Hobart Marathon,42.5165,5.533929964445176,468.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
4169.0,13692281673.0,Husky 10K 🎉💥🔥,False,,9.5395,4.874469311808795,74.8,5.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,0,1,0,0,0,0,5.0,False,False,False,False,False,True,False,False,False,False,False,False,True
2509.0,13637322385.0,SMC -10km,False,SMC 10k,10.0342,4.411579066260057,69.0,6.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
4386.0,13637172374.0,SMC Long run,False,SMC 30k,30.1322,5.134595770194896,120.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
3109.0,13503877080.0,Sun Run,False,Sun Run,10.0418,4.039780384658794,93.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0,1,0,0,0,0,5.0,False,False,False,False,False,True,False,True,False,False,False,False,False
3110.0,13116463789.0,SMC 10K,False,SMC 10k,9.9534,4.012029390292094,32.0,6.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,19.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
4387.0,13116607032.0,SMC half marathon,False,SMC Half marathon,21.1118,4.840894665542494,79.0,6.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,44.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
3111.0,12745046977.0,Bondi to Manly Leg 3,False,Bondi to Manly Leg 3,22.7096,6.039296156691444,517.0,5.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0,0,0,0,0,5.0,False,False,False,False,False,True,False,False,False,False,True,False,False
2510.0,12744360079.0,Bondi to manly leg2,False,Bondi to Manly Leg 2,19.7106,5.076794550478761,329.0,5.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,0,0,0,0,0,0,5.0,False,False,False,False,False,True,False,False,True,False,False,False,False
