id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,has_polyline,polyline_length,source,year,month,day_of_week,hour,pace_min_per_km,distance_km,time_minutes,is_parkrun,distance_category
3108,14091896812,Shellharbour 10K,9963.6,2358,2358,2025-04-06 08:45:31+00:00,47.0,175.2,190.0,2358,9963.6,Shellharbour 10K,1,855.0,oauth,2025,4,6,8,3.944357461158617,9.9636,39.3,False,5-10km
4385,14092131733,Hobart Marathon 2025,42516.5,14131,14117,2025-04-06 06:01:10+00:00,468.0,149.4,167.0,14117,42516.5,Hobart Marathon,1,1305.0,oauth,2025,4,6,6,5.533929964445176,42.5165,235.28333333333333,False,>42km
4169,13692281673,Husky 10K 🎉💥🔥,9539.5,2790,2790,2025-02-22 16:40:09+00:00,74.8,170.1,181.0,2790,9539.5,,1,884.0,oauth,2025,2,5,16,4.874469311808795,9.5395,46.5,False,5-10km
2509,13637322385,SMC -10km,10034.2,2680,2656,2025-02-16 07:31:55+00:00,69.0,176.8,189.0,2656,10034.2,SMC 10k,1,1018.0,oauth,2025,2,6,7,4.411579066260057,10.0342,44.266666666666666,False,10-15km
4386,13637172374,SMC Long run,30132.2,9284,9283,2025-02-16 06:06:42+00:00,120.0,148.9,170.0,9283,30132.2,SMC 30k,1,1236.0,oauth,2025,2,6,6,5.134595770194896,30.1322,154.71666666666667,False,21-42km
3109,13503877080,Sun Run,10041.8,2434,2434,2025-02-01 06:30:30+00:00,93.0,164.9,190.0,2434,10041.8,Sun Run,1,743.0,oauth,2025,2,5,6,4.039780384658794,10.041799999999999,40.56666666666667,False,10-15km
3110,13116463789,SMC 10K,9953.4,2396,2396,2024-12-15 07:31:54+00:00,32.0,170.3,185.0,2396,9953.4,SMC 10k,1,1012.0,oauth,2024,12,6,7,4.012029390292094,9.9534,39.93333333333333,False,5-10km
4387,13116607032,SMC half marathon,21111.8,6144,6132,2024-12-15 07:02:16+00:00,79.0,161.4,178.0,6132,21111.8,SMC Half marathon,1,1133.0,oauth,2024,12,6,7,4.840894665542494,21.1118,102.2,False,21-42km
3111,12745046977,Bondi to Manly Leg 3,22709.6,8361,8229,2024-10-26 09:38:38+00:00,517.0,174.2,196.0,8229,22709.6,Bondi to Manly Leg 3,1,1130.0,oauth,2024,10,5,9,6.039296156691444,22.7096,137.15,False,21-42km
2510,12744360079,Bondi to manly leg2,19710.6,6023,6004,2024-10-26 07:58:15+00:00,329.0,160.9,189.0,6004,19710.6,Bondi to Manly Leg 2,1,1130.0,oauth,2024,10,5,7,5.076794550478761,19.7106,100.06666666666666,False,15-21km
787,12745739858,Bondi to Manly (official 10.08.49),78900.1,36652,34782,2024-10-26 05:25:56+00:00,1625.0,138.8,160.0,34782,78900.1,Bondi to Manly Ultra,1,1350.0,oauth,2024,10,5,5,7.347265719561825,78.90010000000001,579.7,False,>42km
2511,12640404601,Three Bridges Run,10565.3,2840,2837,2024-10-13 08:00:24+00:00,63.0,158.7,169.0,2837,10565.3,Three Bridges 10k,1,1023.0,oauth,2024,10,6,8,4.475342236693074,10.565299999999999,47.28333333333333,False,10-15km
791,12576446263,Reboot in Bermagui,15658.0,4822,4822,2024-10-05 08:59:42+00:00,107.0,168.3,181.0,4822,15658.0,ReBoot in Bermagui,1,1059.0,oauth,2024,10,5,8,5.1326265593732705,15.658,80.36666666666666,False,15-21km
2512,12412345039,Sydney 10km,10009.6,2629,2611,2024-09-15 07:39:22+00:00,111.0,161.6,178.0,2611,10009.6,Sydney Marathon 10k,1,1033.0,oauth,2024,9,6,7,4.347493073316283,10.0096,43.516666666666666,False,10-15km
