id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,is_hidden,has_polyline,polyline_length,source,is_parkrun,year,month,day_of_week,hour,day_name,pace_min_per_km,distance_km,time_minutes,distance_category
814,11707650656,Wet cookies,5001.8,1298,1292,2024-06-22 08:01:47+00:00,33.0,160.7,174.0,1292,5001.8,parkrun,1,1,522.0,oauth,True,2024,6,5,8,Saturday,4.305116824609807,5.0018,21.533333333333335,5-10km
4323,11543440778,Dolls Point Park Run,4955.5,1150,1150,2024-06-01 08:03:26+00:00,3.0,167.7,181.0,1150,4955.5,parkrun,1,1,358.0,oauth,True,2024,6,5,8,Saturday,3.8677563649816706,4.9555,19.166666666666668,<5km
816,11543312085,Dolly’s parky,4981.1,1260,1260,2024-06-01 08:03:23+00:00,8.0,166.6,177.0,1260,4981.1,parkrun,1,1,326.0,oauth,True,2024,6,5,8,Saturday,4.215936238983357,4.9811000000000005,21.0,<5km
653,11442709101,Sydney 10 - 45:41,9926.2,2742,2742,2024-05-19 07:45:19+00:00,91.0,156.3,166.0,2742,9926.2,Sydney 10,0,1,872.0,oauth,False,2024,5,6,7,Sunday,4.603977352864137,9.926200000000001,45.7,5-10km
818,11442745454,Sydney 10,10091.7,2593,2588,2024-05-19 07:45:17+00:00,33.0,164.0,177.0,2588,10091.7,Sydney 10,0,1,792.0,oauth,False,2024,5,6,7,Sunday,4.274139474353511,10.091700000000001,43.13333333333333,10-15km
3114,11442640731,Sydney 10,10059.7,2374,2374,2024-05-19 07:45:12+00:00,25.0,169.8,186.0,2374,10059.7,Sydney 10,0,1,798.0,oauth,False,2024,5,6,7,Sunday,3.933185548939498,10.059700000000001,39.56666666666667,10-15km
2253,11333573151,Sydney Hoka Half Marathon,21417.1,5968,5925,2024-05-05 07:00:00+00:00,177.0,167.9,190.0,5925,21417.1,Hoka Sydney Half marathon,0,1,1105.0,oauth,False,2024,5,6,7,Sunday,4.610801649149511,21.417099999999998,98.75,21-42km
654,11333590045,Runaway HOKA Half Marathon - 1:50:26,20997.2,6629,6606,2024-05-05 06:52:19+00:00,167.0,150.6,172.0,6606,20997.2,Hoka Sydney Half marathon,0,1,1133.0,oauth,False,2024,5,6,6,Sunday,5.243556283694969,20.9972,110.1,15-21km
819,11271153084,Coombs parky,4992.2,1283,1283,2024-04-27 08:00:13+00:00,37.0,163.8,182.0,1283,4992.2,parkrun,1,1,464.0,oauth,True,2024,4,5,8,Saturday,4.283348690624041,4.9921999999999995,21.383333333333333,<5km
3115,11227198938,SMC half marathon,20958.0,5394,5394,2024-04-21 07:00:02+00:00,60.0,176.3,191.0,5394,20958.0,,0,1,1140.0,oauth,False,2024,4,6,7,Sunday,4.289531443840062,20.958,89.9,15-21km
820,11171412523,Sydney Backyard Ultra,81086.3,42799,34190,2024-04-13 08:00:10+00:00,649.0,135.9,160.0,34190,81086.3,Sydney Backyard Ultra,0,1,1341.0,oauth,False,2024,4,5,8,Saturday,7.027492108202413,81.08630000000001,569.8333333333334,>42km
821,11114585133,Greenie,5020.5,1262,1262,2024-04-06 08:00:27+00:00,6.0,166.2,177.0,1262,5020.5,parkrun,1,1,500.0,oauth,True,2024,4,5,8,Saturday,4.189489758656176,5.0205,21.033333333333335,5-10km
822,11064748303,Cookies,5000.6,1286,1283,2024-03-30 07:59:35+00:00,32.0,162.0,173.0,1283,5000.6,parkrun,1,1,476.0,oauth,True,2024,3,5,7,Saturday,4.276153528243277,5.0006,21.383333333333333,5-10km
