id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,is_hidden,has_polyline,polyline_length,source,is_parkrun,year,month,day_of_week,hour,day_name,pace_min_per_km,distance_km,time_minutes
678,9496367662,The Ponds parkrun - 24:38,5010.9,1489,1489,2023-07-22 08:02:48+00:00,28.0,143.5,163.0,1489,5010.9,parkrun,1,1,469.0,oauth,True,2023,7,5,8,Saturday,4.9525368031025705,5.0108999999999995,24.816666666666666
679,9408209008,Wildflower parkrun - 26:06,4776.4,1566,1562,2023-07-08 08:03:00+00:00,133.0,147.6,172.0,1562,4776.4,parkrun,1,1,605.0,oauth,True,2023,7,5,8,Saturday,5.450408955140553,4.7764,26.033333333333335
848,9364751629,Panania parky,4924.0,1243,1238,2023-07-01 08:03:24+00:00,0.0,131.9,144.0,1238,4924.0,parkrun,1,1,426.0,oauth,True,2023,7,5,8,Saturday,4.1903601408069315,4.924,20.633333333333333
680,9364778726,Mt Penang parkrun - 23:53,4939.9,1433,1433,2023-07-01 08:00:42+00:00,35.0,151.3,169.0,1433,4939.9,parkrun,1,1,620.0,oauth,True,2023,7,5,8,Saturday,4.834780731053935,4.9399,23.883333333333333
2524,9322099097,🚾 PARKRUN,5019.2,1217,1217,2023-06-24 08:04:39+00:00,24.0,172.0,188.0,1217,5019.2,parkrun,1,1,578.0,oauth,True,2023,6,5,8,Saturday,4.0411486558282865,5.0192,20.283333333333335
850,9322479777,Wenty parkrun,5024.6,1254,1254,2023-06-24 08:04:38+00:00,18.8,152.4,177.0,1254,5024.6,parkrun,1,1,551.0,oauth,True,2023,6,5,8,Saturday,4.159535087370139,5.0246,20.9
852,9278902366,Cookies,4974.6,1273,1268,2023-06-17 08:03:25+00:00,17.0,162.1,181.0,1268,4974.6,parkrun,1,1,457.0,oauth,True,2023,6,5,8,Saturday,4.2482477653144635,4.974600000000001,21.133333333333333
681,9235532404,Cooks River parkrun - 24:45,5031.7,1483,1483,2023-06-10 08:02:29+00:00,32.0,149.6,170.0,1483,5031.7,parkrun,1,1,512.0,oauth,True,2023,6,5,8,Saturday,4.912190048426311,5.0317,24.716666666666665
856,9190640764,Dolls Point parkrun,4975.8,1240,1236,2023-06-03 08:01:50+00:00,4.8,167.0,177.0,1236,4975.8,parkrun,1,1,343.0,oauth,True,2023,6,5,8,Saturday,4.140037782869086,4.9758000000000004,20.6
682,9190703177,Cooks River parkrun - 24:27,5011.6,1468,1468,2023-06-03 08:01:17+00:00,23.0,148.4,168.0,1468,5011.6,parkrun,1,1,528.0,oauth,True,2023,6,5,8,Saturday,4.88200707691489,5.0116000000000005,24.466666666666665
683,9146549154,St Peters parkrun - 23:23,4983.8,1403,1403,2023-05-27 08:03:55+00:00,57.0,147.8,163.0,1403,4983.8,parkrun,1,1,546.0,oauth,True,2023,5,5,8,Saturday,4.691868320023542,4.9838000000000005,23.383333333333333
858,9146787464,Sydney Park parkrun,4949.7,1285,1285,2023-05-27 08:03:55+00:00,52.3,166.6,197.0,1285,4949.7,parkrun,1,1,535.0,oauth,True,2023,5,5,8,Saturday,4.326861560633304,4.9497,21.416666666666668
684,9102740008,Greenway parkrun - 25:28,5044.9,1526,1526,2023-05-20 08:02:00+00:00,12.0,148.5,167.0,1526,5044.9,parkrun,1,1,516.0,oauth,True,2023,5,5,8,Saturday,5.041394940104529,5.044899999999999,25.433333333333334
685,9060045716,Cooks River parkrun - 25:03,4980.3,1503,1503,2023-05-13 08:02:39+00:00,25.0,145.9,166.0,1503,4980.3,parkrun,1,1,514.0,oauth,True,2023,5,5,8,Saturday,5.029817480874645,4.980300000000001,25.05
877,9060138292,Cookies parky,4957.9,1276,1272,2023-05-13 08:02:38+00:00,17.1,149.2,161.0,1272,4957.9,parkrun,1,1,451.0,oauth,True,2023,5,5,8,Saturday,4.276003953286674,4.9578999999999995,21.2
687,9017644033,Jindabyne Sports & Recreation parkrun,5046.0,1649,1649,2023-05-06 08:04:04+00:00,91.0,153.6,165.0,1649,5046.0,parkrun,1,1,613.0,oauth,True,2023,5,5,8,Saturday,5.446558330030387,5.046,27.483333333333334
688,8974349004,St Peters parkrun - 26:50,4971.9,1610,1610,2023-04-29 08:03:37+00:00,56.0,148.1,166.0,1610,4971.9,parkrun,1,1,545.0,oauth,True,2023,4,5,8,Saturday,5.396997794270467,4.9719,26.833333333333332
879,8974358063,Cookies ,4966.7,1292,1289,2023-04-29 08:03:32+00:00,17.1,167.0,182.0,1289,4966.7,parkrun,1,1,452.0,oauth,True,2023,4,5,8,Saturday,4.325474325675668,4.9666999999999994,21.483333333333334
880,8850461204,Coombs parkrun,5000.4,1323,1319,2023-04-08 08:01:23+00:00,34.8,164.4,180.0,1319,5000.4,parkrun,1,1,479.0,oauth,True,2023,4,5,8,Saturday,4.396314961469749,5.0004,21.983333333333334
2527,8809972262,Panania park run ,4995.7,1206,1206,2023-04-01 08:05:15+00:00,14.0,168.7,181.0,1206,4995.7,parkrun,1,1,447.0,oauth,True,2023,4,5,8,Saturday,4.023460175751146,4.9957,20.1
691,8771226782,Greenway parkrun - 21:34,4992.7,1293,1293,2023-03-25 08:01:33+00:00,17.0,160.8,170.0,1293,4992.7,parkrun,1,1,513.0,oauth,True,2023,3,5,8,Saturday,4.316301800628918,4.9927,21.55
2528,8771452938,Park run ,4963.9,1235,1232,2023-03-25 08:01:33+00:00,9.0,162.8,175.0,1232,4963.9,parkrun,1,1,499.0,oauth,True,2023,3,5,8,Saturday,4.136532430817167,4.9639,20.533333333333335
4324,8771155189,Greenway Park Run ,4997.8,1047,1044,2023-03-25 08:01:32+00:00,6.0,172.3,183.0,1044,4997.8,parkrun,1,1,501.0,oauth,True,2023,3,5,8,Saturday,3.481531874024571,4.9978,17.4
692,8654941942,Greenway parkrun - 27:31,5013.5,1650,1650,2023-03-04 08:00:08+00:00,13.0,137.9,153.0,1650,5013.5,parkrun,1,1,540.0,oauth,True,2023,3,5,8,Saturday,5.485189987035006,5.0135,27.5
882,8654745946,Happy 100 Chrissy greenway,5003.6,1248,1248,2023-03-04 08:00:06+00:00,0.0,164.8,175.0,1248,5003.6,parkrun,1,1,550.0,oauth,True,2023,3,5,8,Saturday,4.157006954992405,5.0036000000000005,20.8
693,8616585085,Cooks River parkrun - 24:33,4952.7,1474,1474,2023-02-25 08:02:04+00:00,27.0,145.0,168.0,1474,4952.7,parkrun,1,1,468.0,oauth,True,2023,2,5,8,Saturday,4.960257368034943,4.9527,24.566666666666666
695,8539241639,New Farm parkrun,4957.5,1479,1479,2023-02-11 07:00:47+00:00,14.0,153.6,172.0,1479,4957.5,parkrun,1,1,466.0,oauth,True,2023,2,5,7,Saturday,4.97226424609178,4.9575,24.65
883,8500132027,Cookies 8th birthday,5000.6,1280,1280,2023-02-04 08:00:32+00:00,17.2,159.4,173.0,1280,5000.6,parkrun,1,1,451.0,oauth,True,2023,2,5,8,Saturday,4.266154728099294,5.0006,21.333333333333332
884,8424458458,Greenie,5002.7,1241,1237,2023-01-21 08:01:11+00:00,0.0,163.6,174.0,1237,5002.7,parkrun,1,1,505.0,oauth,True,2023,1,5,8,Saturday,4.121107935048407,5.0027,20.616666666666667
697,8387312313,Cooks River parkrun - 23:32,5012.9,1411,1411,2023-01-14 08:04:40+00:00,32.0,151.4,168.0,1411,5012.9,parkrun,1,1,506.0,oauth,True,2023,1,5,8,Saturday,4.6912299600364396,5.012899999999999,23.516666666666666
885,8387128422,Cookies,4985.7,1272,1272,2023-01-14 08:04:38+00:00,17.1,162.0,175.0,1272,4985.7,parkrun,1,1,466.0,oauth,True,2023,1,5,8,Saturday,4.2521611809775965,4.9857,21.2
886,8349307180,Bega parkrun,4963.1,1231,1231,2023-01-07 08:02:46+00:00,9.4,163.3,175.0,1231,4963.1,parkrun,1,1,460.0,oauth,True,2023,1,5,8,Saturday,4.1338410805074775,4.963100000000001,20.516666666666666
887,8313279863,Batemans Bay parkrun,4975.0,1258,1253,2022-12-31 08:00:16+00:00,9.8,151.0,169.0,1253,4975.0,parkrun,1,1,398.0,oauth,True,2022,12,5,8,Saturday,4.197654941373535,4.975,20.883333333333333
698,8313458787,Mudgeeraba parkrun - 23:12,5004.3,1390,1390,2022-12-31 07:02:21+00:00,11.0,162.4,179.0,1390,5004.3,parkrun,1,1,525.0,oauth,True,2022,12,5,7,Saturday,4.629352090535473,5.0043,23.166666666666668
889,8283456068,Cookies Christmas Eve ,4971.9,1295,1295,2022-12-24 08:03:22+00:00,16.8,163.2,176.0,1295,4971.9,parkrun,1,1,474.0,oauth,True,2022,12,5,8,Saturday,4.341063443217549,4.9719,21.583333333333332
890,8228938594,Defiant cookies parkrun,4993.9,1276,1276,2022-12-10 08:02:34+00:00,16.7,163.2,181.0,1276,4993.9,parkrun,1,1,446.0,oauth,True,2022,12,5,8,Saturday,4.258528738394174,4.9939,21.266666666666666
699,8199333135,Wentworth Common parkrun - 23:05,5015.4,1442,1435,2022-12-03 08:04:13+00:00,21.0,158.7,178.0,1435,5015.4,parkrun,1,1,583.0,oauth,True,2022,12,5,8,Saturday,4.768645903949171,5.0154,23.916666666666668
700,8168039649,Cooks River parkrun - 25:08,5031.9,1509,1509,2022-11-26 08:02:04+00:00,33.0,153.5,171.0,1509,5031.9,parkrun,1,1,527.0,oauth,True,2022,11,5,8,Saturday,4.998112045151931,5.031899999999999,25.15
702,8103665058,Cooks River parkrun - 27:34,5027.6,1654,1654,2022-11-12 08:01:10+00:00,32.0,144.3,151.0,1654,5027.6,parkrun,1,1,498.0,oauth,True,2022,11,5,8,Saturday,5.483066804572095,5.0276000000000005,27.566666666666666
892,8103546106,Cookies ,4970.7,1299,1295,2022-11-12 08:01:09+00:00,16.7,165.8,176.0,1295,4970.7,parkrun,1,1,449.0,oauth,True,2022,11,5,8,Saturday,4.342111439703328,4.9707,21.583333333333332
703,8068810432,Panania parkrun - 23:51,5011.8,1462,1435,2022-11-05 08:01:51+00:00,14.0,152.5,166.0,1435,5011.8,parkrun,1,1,449.0,oauth,True,2022,11,5,8,Saturday,4.772071245194674,5.0118,23.916666666666668
